Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2000000,2000000,2000000,2000000,2000000,2000000,1000000,1000000,4000000,3000000,3000000,1000000,1000000,1000000,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,906000000,961000000,984000000,1046000000,1089000000,1145000000,1208000000,1276000000,1308000000,1095000000,1188000000,1177000000,1172000000,1190000000,1164000000,1138000000,1092000000,1199000000,1200000000,1212000000,1340000000,1306000000,1545000000,1360000000,1308000000,1472000000,1613000000,1606000000,1838000000,1999000000,2183000000,2257000000,2041000000,2204000000,2021000000,2217000000,2381000000,2372000000,2362000000,2226000000,2593000000,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058000000,5138000000,3408000000,2367000000,3459000000,3643000000,5156000000,4655000000,4557000000,5532000000,5094000000,5181000000,5268000000,4501000000,5979000000,5998000000,5857000000,4001000000,4867000000,6239000000,8026000000,4387000000,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Brazil,,,,,,,,,,,,43818000000,51392000000,58641000000,66463000000,73154000000,83777000000,94595000000,1.04078E+11,1.18356E+11,1.30713E+11,1.32637E+11,1.43309E+11,1.54458E+11,1.69443E+11,1.81441E+11,1.85612E+11,1.89165E+11,2.02432E+11,2.08093E+11,2.10567E+11,2.21782E+11,2.28242E+11,2.40019E+11,2.48093E+11,2.59499E+11,2.72523E+11,2.86355E+11,2.98979E+11,3.01368E+11,3.12249E+11,2.76891E+11,2.96372E+11,3.17571E+11,3.33334E+11,3.51141E+11,3.63765E+11,3.92685E+11,3.90263E+11,4.14865E+11,4.37014E+11,4.63273E+11,,,
Brunei Darussalam,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,,,
Bulgaria,,,,,,,,,,,,2170000000,2095000000,2570000000,2080000000,2453000000,2954000000,3529000000,2909000000,3311000000,3713000000,3618000000,3050000000,3351000000,3260000000,2236000000,2326000000,2538000000,2596000000,2691000000,1878000000,2441000000,2063000000,1942000000,1468000000,2314000000,2919000000,2754000000,3097000000,2753000000,2673000000,1737000000,2194000000,3029000000,3169000000,4342000000,4258000000,2921000000,2946000000,3718000000,5788000000,3935000000,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1000000,1000000,30000000,49000000,41000000,59000000,65000000,65000000,62000000,58000000,49000000,68000000,,,
Cameroon,,,,,,,,,,,,1046000000,1073000000,1068000000,1190000000,1295000000,1256000000,1225000000,1259000000,1308000000,1365000000,1810000000,2038000000,2089000000,2178000000,2388000000,2431000000,2451000000,2572000000,2664000000,2656000000,2671000000,2702000000,2802000000,2688000000,2753000000,2868000000,3092000000,3116000000,3334000000,3442000000,3474000000,3182000000,3528000000,3920000000,3772000000,4535000000,3923000000,4309000000,4087000000,4319000000,4459000000,,,
Canada,1.06792E+11,1.04815E+11,1.04971E+11,1.04783E+11,1.14342E+11,1.18088E+11,1.31E+11,1.33924E+11,1.362E+11,1.50638E+11,1.58137E+11,1.62461E+11,1.81639E+11,1.94654E+11,2.10667E+11,2.0247E+11,2.13396E+11,2.21216E+11,2.36386E+11,2.45466E+11,2.52448E+11,2.67913E+11,2.59934E+11,2.68037E+11,2.8846E+11,3.05322E+11,3.125E+11,3.18518E+11,3.0992E+11,2.94827E+11,3.00691E+11,3.12248E+11,3.20904E+11,3.28435E+11,3.35629E+11,3.41626E+11,3.61553E+11,3.57645E+11,3.3927E+11,3.5422E+11,3.66993E+11,3.42265E+11,3.60012E+11,3.47332E+11,3.50599E+11,3.74272E+11,3.64067E+11,3.79065E+11,3.85153E+11,3.83103E+11,3.69246E+11,3.96876E+11,4.02797E+11,,
Caribbean small states,,,,,,,,,,,,264000000,305000000,333000000,339000000,355000000,401000000,435000000,479000000,423000000,428000000,422000000,452000000,527000000,219000000,217000000,226000000,227000000,217000000,246000000,217000000,168000000,209000000,226000000,295000000,334000000,372000000,389000000,337000000,337000000,340000000,259000000,182000000,192000000,260000000,296000000,321000000,316000000,291000000,305000000,332000000,421000000,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,642000000,615000000,772000000,661000000,721000000,997000000,1034000000,1083000000,1141000000,989000000,1918000000,11115000000,14046000000,14300000000,17036000000,17994000000,16519000000,19620000000,19963000000,21020000000,23715000000,22956000000,20271000000,19068000000,19400000000,21171000000,18782000000,20190000000,23304000000,21848000000,29616000000,33837000000,29529000000,32131000000,34735000000,40312000000,40587000000,40574000000,44651000000,44036000000,39878000000,40951000000,41312000000,35008000000,45427000000,51997000000,49809000000,45793000000,51024000000,56905000000,70672000000,62336000000,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,4875000000,5787000000,5646000000,6410000000,6439000000,6672000000,7049000000,7342000000,7542000000,7976000000,8260000000,9051000000,9821000000,10176000000,11265000000,12110000000,13094000000,12885000000,10864000000,9891000000,14167000000,18493000000,19602000000,18772000000,20293000000,18579000000,20689000000,17105000000,14600000000,19457000000,23078000000,24216000000,23488000000,24017000000,28280000000,30567000000,25835000000,27314000000,29649000000,24296000000,26020000000,25611000000,,
China,,,,,,,,,,,,30000000000,34000000000,38000000000,43000000000,45000000000,45600000000,47600000000,44600000000,50100000000,58210000000,65550000000,74400000000,86360000000,86780000000,92370000000,94530000000,1.0001E+11,1.0915E+11,1.1839E+11,1.26724E+11,1.25101E+11,1.32487E+11,1.51845E+11,1.67788E+11,1.93545E+11,1.8949E+11,1.98806E+11,2.10748E+11,2.06722E+11,2.25472E+11,2.8065E+11,2.91325E+11,2.87206E+11,3.57366E+11,4.04455E+11,4.46885E+11,5.00955E+11,6.15013E+11,6.63733E+11,7.92512E+11,8.03473E+11,,,
Colombia,,,,,,,,,,,,6663000000,7298000000,7939000000,8849000000,9090000000,9399000000,10645000000,12276000000,13476000000,14512000000,14503000000,15349000000,15496000000,17306000000,18610000000,21486000000,23401000000,24651000000,26933000000,27771000000,27995000000,22621000000,28246000000,32503000000,32637000000,35987000000,31957000000,31314000000,34198000000,32570000000,32294000000,34459000000,36669000000,40596000000,40355000000,43335000000,45026000000,46994000000,41649000000,40939000000,50918000000,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,3437000000,3437000000,3768000000,3394000000,3706000000,4008000000,4065000000,4000000000,3969000000,4243000000,4169000000,4123000000,4479000000,4695000000,5027000000,5259000000,5242000000,5248000000,6915000000,5625000000,5259000000,6054000000,5528000000,5294000000,6159000000,6091000000,5024000000,4709000000,5300000000,5996000000,5974000000,6110000000,6160000000,7078000000,7392000000,7524000000,7824000000,7483000000,7800000000,7853000000,7847000000,,,
"Congo, Rep.",,,,,,,,,,,,54000000,66000000,50000000,55000000,58000000,63000000,48000000,11000000,77000000,100000000,103000000,174000000,232000000,251000000,291000000,268000000,278000000,289000000,397000000,490000000,480000000,424000000,359000000,322000000,352000000,456000000,451000000,342000000,95000000,295000000,334000000,396000000,342000000,330000000,355000000,372000000,335000000,375000000,330000000,430000000,791000000,,,
Costa Rica,,,,,,,,,,,,1038000000,1105000000,1138000000,1255000000,1303000000,1457000000,1347000000,1486000000,1632000000,2130000000,2295000000,2397000000,2796000000,3014000000,2766000000,2901000000,3010000000,3056000000,3328000000,3382000000,3666000000,4056000000,4403000000,4414000000,4040000000,4356000000,5440000000,4972000000,6046000000,6860000000,6645000000,7404000000,7296000000,8149000000,7989000000,8164000000,8328000000,8798000000,8860000000,8943000000,8970000000,,,
Cote d'Ivoire,,,,,,,,,,,,139000000,226000000,168000000,277000000,383000000,344000000,222000000,167000000,730000000,1352000000,1730000000,1728000000,976000000,373000000,1358000000,1195000000,1052000000,1241000000,1594000000,1322000000,1254000000,1048000000,1099000000,1174000000,1784000000,1782000000,1879000000,1377000000,1754000000,1764000000,1800000000,1729000000,1832000000,1855000000,1547000000,1622000000,1912000000,2016000000,2204000000,1681000000,1838000000,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3759000000,5364000000,4347000000,4364000000,4936000000,5274000000,7237000000,5288000000,5466000000,6599000000,5875000000,6547000000,5365000000,4876000000,6964000000,6357000000,6030000000,4279000000,5277000000,6809000000,8501000000,4747000000,,,
Cuba,,,,,,,,,,,,927000000,719000000,781000000,825000000,819000000,826000000,909000000,1039000000,1062000000,1051000000,1035000000,1089000000,1148000000,1195000000,1185000000,1244000000,1249000000,1390000000,1362000000,1540000000,1369000000,1418000000,969000000,946000000,764000000,1017000000,1000000000,876000000,984000000,1033000000,1005000000,1045000000,848000000,877000000,488000000,500000000,534000000,700000000,690000000,564000000,567000000,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,3000000,14000000,31000000,73000000,178000000,,,
